token,top_anchors
oain,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)"
oar,"n_paragraphs(npmi=+0.33, n=5) | n_decorative_motifs(npmi=+0.32, n=5) | n_rays_or_petals(npmi=+0.46, n=2)"
ochey,"n_rays(npmi=+0.49, n=1) | has_radial_symmetry(npmi=+0.27, n=3) | n_human_figures(npmi=+0.33, n=2)"
ochol,"n_concentric_rings(npmi=+0.29, n=2) | has_radial_symmetry(npmi=+0.26, n=2) | has_circular_structure(npmi=+0.25, n=2)"
ochor,"has_central_star(npmi=+0.67, n=1) | branching_depth(npmi=+0.41, n=1) | n_leaves_visible(npmi=+0.37, n=1)"
ochy,"n_flowers_visible(npmi=+0.45, n=1) | branching_depth(npmi=+0.45, n=1) | n_leaves_visible(npmi=+0.41, n=1)"
ockhey,"n_containers(npmi=+0.41, n=2) | has_container(npmi=+0.38, n=2) | n_plant_fragments(npmi=+0.37, n=2)"
ockhy,"n_labels(npmi=+0.20, n=5) | n_containers(npmi=+0.23, n=2) | n_rays_or_petals(npmi=+0.29, n=1)"
octhy,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)"
od,"n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1) | n_stars(npmi=+0.07, n=1)"
odaiiin,"n_concentric_rings(npmi=+0.12, n=1) | has_radial_symmetry(npmi=+0.10, n=1) | has_circular_structure(npmi=+0.09, n=1)"
odaiin,"n_decorative_motifs(npmi=+0.29, n=11) | n_stars(npmi=+0.27, n=12) | n_paragraphs(npmi=+0.26, n=10)"
odain,"n_paragraphs(npmi=+0.25, n=4) | n_decorative_motifs(npmi=+0.24, n=4) | n_stars(npmi=+0.20, n=4)"
odal,"n_paragraphs(npmi=+0.24, n=4) | n_decorative_motifs(npmi=+0.23, n=4) | n_stars(npmi=+0.18, n=4)"
odar,"n_decorative_motifs(npmi=+0.34, n=8) | n_stars(npmi=+0.29, n=8) | n_paragraphs(npmi=+0.30, n=7)"
odor,"has_star_motif(npmi=+0.81, n=2) | n_containers(npmi=+0.41, n=2) | has_container(npmi=+0.38, n=2)"
ody,"n_rays_or_petals(npmi=+0.28, n=2) | has_star_motif(npmi=+0.24, n=1) | has_container(npmi=+0.09, n=3)"
oeedy,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_human_figures(npmi=+0.39, n=2)"
oeees,"has_T_O_diagram(npmi=+0.62, n=1) | n_labels(npmi=+0.15, n=3) | has_circular_structure(npmi=+0.15, n=2)"
oees,"n_concentric_rings(npmi=+0.27, n=3) | has_radial_symmetry(npmi=+0.25, n=3) | has_circular_structure(npmi=+0.23, n=3)"
oeey,"n_paragraphs(npmi=+0.20, n=2) | n_decorative_motifs(npmi=+0.19, n=2) | n_stars(npmi=+0.16, n=2)"
ofar,"n_concentric_rings(npmi=+0.12, n=1) | n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1)"
ofchedy,"n_pipes(npmi=+0.51, n=3) | n_pools(npmi=+0.48, n=3) | n_nymphs(npmi=+0.45, n=3)"
oiiin,"n_pipes(npmi=+0.35, n=3) | n_pools(npmi=+0.32, n=3) | has_human_figure(npmi=+0.27, n=4)"
oiin,"has_star_motif(npmi=+0.47, n=2) | n_plant_fragments(npmi=+0.27, n=5) | n_nymphs(npmi=+0.23, n=5)"
oiir,"n_plant_fragments(npmi=+0.37, n=2) | n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1)"
ok,"n_paragraphs(npmi=+0.21, n=3) | n_decorative_motifs(npmi=+0.20, n=3) | n_stars(npmi=+0.16, n=3)"
ok@221;l,"n_concentric_rings(npmi=+0.29, n=2) | has_radial_symmetry(npmi=+0.26, n=2) | has_circular_structure(npmi=+0.25, n=2)"
ok@221;r,"n_petals(npmi=+0.67, n=1) | n_pipes(npmi=+0.34, n=2) | n_pools(npmi=+0.31, n=2)"
okaiiin,"n_stars(npmi=+0.35, n=4) | n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3)"
okaiin,"n_decorative_motifs(npmi=+0.36, n=24) | n_paragraphs(npmi=+0.35, n=23) | n_stars(npmi=+0.25, n=23)"
okaiir,"n_decorative_motifs(npmi=+0.30, n=3) | has_marginal_annotation(npmi=+0.44, n=1) | n_visual_text_columns(npmi=+0.31, n=1)"
okain,"n_decorative_motifs(npmi=+0.48, n=19) | n_paragraphs(npmi=+0.47, n=18) | n_nymphs(npmi=+0.43, n=14)"
okair,"n_paragraphs(npmi=+0.38, n=7) | n_decorative_motifs(npmi=+0.37, n=7) | n_stars(npmi=+0.32, n=7)"
okal,"n_paragraphs(npmi=+0.33, n=19) | n_decorative_motifs(npmi=+0.31, n=19) | n_stars(npmi=+0.24, n=19)"
okalal,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_human_figures(npmi=+0.43, n=2)"
okaldy,"n_human_figures(npmi=+0.29, n=1) | n_concentric_rings(npmi=+0.17, n=1) | n_paragraphs(npmi=+0.15, n=1)"
okaly,"has_human_figure(npmi=+0.35, n=8) | n_paragraphs(npmi=+0.30, n=6) | n_decorative_motifs(npmi=+0.29, n=6)"
okam,"n_paragraphs(npmi=+0.30, n=7) | n_decorative_motifs(npmi=+0.29, n=7) | n_stars(npmi=+0.24, n=7)"
okan,"n_decorative_motifs(npmi=+0.43, n=3) | has_marginal_annotation(npmi=+0.54, n=1) | n_paragraphs(npmi=+0.32, n=2)"
okar,"n_paragraphs(npmi=+0.30, n=16) | n_decorative_motifs(npmi=+0.29, n=16) | n_stars(npmi=+0.25, n=17)"
okary,"n_flowers_visible(npmi=+0.39, n=1) | branching_depth(npmi=+0.39, n=1) | n_leaves_visible(npmi=+0.34, n=1)"
okch@152;y,"n_stars(npmi=+0.34, n=3) | n_rays(npmi=+0.58, n=1) | n_labels(npmi=+0.15, n=2)"
okchar,"n_paragraphs(npmi=+0.23, n=2) | n_decorative_motifs(npmi=+0.23, n=2) | n_stars(npmi=+0.19, n=2)"
okchd,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
okchdy,"n_pools(npmi=+0.37, n=4) | n_nymphs(npmi=+0.34, n=4) | has_water(npmi=+0.33, n=4)"
okche@152;y,"n_rays_or_petals(npmi=+0.41, n=1) | n_concentric_rings(npmi=+0.25, n=2) | has_radial_symmetry(npmi=+0.23, n=2)"
okchedy,"n_paragraphs(npmi=+0.59, n=8) | n_decorative_motifs(npmi=+0.58, n=8) | n_stars(npmi=+0.53, n=8)"
okcheey,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
okchey,"n_decorative_motifs(npmi=+0.31, n=8) | n_paragraphs(npmi=+0.27, n=7) | n_stars(npmi=+0.21, n=7)"
okcho,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | n_stars(npmi=+0.26, n=3)"
okchody,"has_moon_face(npmi=+0.70, n=1) | n_labels(npmi=+0.26, n=3) | n_rays_or_petals(npmi=+0.45, n=1)"
okchol,"n_rays_or_petals(npmi=+0.49, n=2) | n_labels(npmi=+0.28, n=6) | n_containers(npmi=+0.36, n=3)"
okchor,"n_concentric_rings(npmi=+0.14, n=3) | n_flowers_visible(npmi=+0.23, n=1) | branching_depth(npmi=+0.23, n=1)"
okchy,"n_petals(npmi=+0.38, n=1) | n_stars(npmi=+0.11, n=6) | n_rays(npmi=+0.25, n=1)"
oke@152;y,"has_human_figure(npmi=+0.26, n=10) | n_nymphs(npmi=+0.28, n=7) | n_pipes(npmi=+0.29, n=6)"
okeal,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)"
okear,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_labels(npmi=+0.25, n=5)"
okedy,"n_nymphs(npmi=+0.40, n=10) | has_water(npmi=+0.39, n=10) | n_pools(npmi=+0.39, n=9)"
okee@152;y,"has_human_figure(npmi=+0.32, n=10) | n_pools(npmi=+0.36, n=7) | n_nymphs(npmi=+0.32, n=7)"
okeedy,"n_paragraphs(npmi=+0.54, n=16) | n_decorative_motifs(npmi=+0.52, n=16) | n_stars(npmi=+0.45, n=16)"
okeeedy,"n_paragraphs(npmi=+0.45, n=4) | n_decorative_motifs(npmi=+0.44, n=4) | n_stars(npmi=+0.39, n=4)"
okeeey,"n_paragraphs(npmi=+0.38, n=8) | n_decorative_motifs(npmi=+0.37, n=8) | n_stars(npmi=+0.32, n=8)"
okeeo,"n_paragraphs(npmi=+0.46, n=7) | n_decorative_motifs(npmi=+0.44, n=7) | n_stars(npmi=+0.39, n=7)"
okeeody,"has_circular_structure(npmi=+0.34, n=6) | n_concentric_rings(npmi=+0.33, n=5) | n_paragraphs(npmi=+0.31, n=5)"
okeeol,"n_labels(npmi=+0.42, n=10) | has_container(npmi=+0.51, n=6) | n_plant_fragments(npmi=+0.50, n=6)"
okeeor,"has_star_motif(npmi=+0.51, n=1) | n_plant_fragments(npmi=+0.30, n=2) | n_labels(npmi=+0.18, n=3)"
okeeos,"has_circular_structure(npmi=+0.42, n=5) | n_labels(npmi=+0.37, n=6) | n_rays_or_petals(npmi=+0.56, n=2)"
okees,"n_concentric_rings(npmi=+0.50, n=7) | has_radial_symmetry(npmi=+0.47, n=7) | has_circular_structure(npmi=+0.45, n=7)"
okeey,"n_stars(npmi=+0.41, n=25) | n_decorative_motifs(npmi=+0.41, n=22) | n_paragraphs(npmi=+0.40, n=21)"
okeo,"n_labels(npmi=+0.45, n=9) | n_concentric_rings(npmi=+0.39, n=5) | has_radial_symmetry(npmi=+0.36, n=5)"
okeo@152;y,"n_labels(npmi=+0.31, n=6) | n_human_figures(npmi=+0.40, n=3) | n_containers(npmi=+0.38, n=3)"
okeody,"has_circular_structure(npmi=+0.27, n=7) | n_labels(npmi=+0.23, n=9) | has_radial_symmetry(npmi=+0.24, n=6)"
okeol,"n_plant_fragments(npmi=+0.47, n=11) | n_labels(npmi=+0.36, n=18) | has_container(npmi=+0.45, n=10)"
okeoly,"has_container(npmi=+0.51, n=3) | n_labels(npmi=+0.35, n=4) | n_human_figures(npmi=+0.43, n=2)"
okeor,"n_plant_fragments(npmi=+0.35, n=4) | n_labels(npmi=+0.22, n=6) | n_containers(npmi=+0.30, n=3)"
okeos,"has_circular_structure(npmi=+0.56, n=8) | has_radial_symmetry(npmi=+0.52, n=7) | n_concentric_rings(npmi=+0.49, n=6)"
okey,"n_stars(npmi=+0.33, n=13) | n_paragraphs(npmi=+0.29, n=10) | n_decorative_motifs(npmi=+0.27, n=10)"
oko,"n_stars(npmi=+0.32, n=4) | n_rays(npmi=+0.49, n=1) | n_rays_or_petals(npmi=+0.36, n=1)"
okody,"has_container(npmi=+0.42, n=4) | n_rays_or_petals(npmi=+0.49, n=2) | n_labels(npmi=+0.28, n=6)"
okoiin,"n_rows(npmi=+0.44, n=2) | n_containers(npmi=+0.34, n=2) | has_container(npmi=+0.31, n=2)"
okol,"n_plant_fragments(npmi=+0.31, n=10) | n_labels(npmi=+0.21, n=18) | n_containers(npmi=+0.28, n=8)"
okoldy,"n_rows(npmi=+0.47, n=2) | n_containers(npmi=+0.37, n=2) | has_container(npmi=+0.34, n=2)"
okor,"n_plant_fragments(npmi=+0.38, n=7) | n_containers(npmi=+0.38, n=6) | has_container(npmi=+0.34, n=6)"
okos,"has_moon_face(npmi=+0.70, n=1) | n_rays(npmi=+0.58, n=1) | n_labels(npmi=+0.26, n=3)"
okshey,"n_pipes(npmi=+0.31, n=2) | n_nymphs(npmi=+0.26, n=2) | has_water(npmi=+0.25, n=2)"
okshy,"n_pipes(npmi=+0.08, n=1) | n_distinct_objects(npmi=+0.01, n=9) | n_nymphs(npmi=+0.03, n=1)"
oky,"n_stars(npmi=+0.13, n=15) | n_decorative_motifs(npmi=+0.13, n=13) | n_paragraphs(npmi=+0.12, n=12)"
ol,"n_paragraphs(npmi=+0.27, n=25) | n_decorative_motifs(npmi=+0.25, n=25) | n_stars(npmi=+0.22, n=27)"
ol@152;y,"n_pipes(npmi=+0.31, n=2) | n_pools(npmi=+0.28, n=2) | n_nymphs(npmi=+0.26, n=2)"
olaiin,"n_paragraphs(npmi=+0.27, n=10) | n_decorative_motifs(npmi=+0.26, n=10) | n_stars(npmi=+0.24, n=11)"
olain,"n_pipes(npmi=+0.48, n=5) | n_nymphs(npmi=+0.42, n=5) | has_water(npmi=+0.41, n=5)"
olal,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | has_human_figure(npmi=+0.26, n=3)"
olam,"n_paragraphs(npmi=+0.49, n=4) | n_decorative_motifs(npmi=+0.48, n=4) | n_stars(npmi=+0.44, n=4)"
olar,"has_T_O_diagram(npmi=+0.53, n=1) | n_paragraphs(npmi=+0.25, n=4) | n_decorative_motifs(npmi=+0.24, n=4)"
olchdy,"n_paragraphs(npmi=+0.23, n=2) | n_decorative_motifs(npmi=+0.23, n=2) | n_stars(npmi=+0.19, n=2)"
olche@152;y,"n_nymphs(npmi=+0.57, n=6) | has_water(npmi=+0.56, n=6) | n_pipes(npmi=+0.56, n=5)"
olchedy,"n_nymphs(npmi=+0.68, n=11) | has_water(npmi=+0.66, n=11) | n_pools(npmi=+0.61, n=9)"
olcheey,"n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3) | n_stars(npmi=+0.23, n=3)"
olcheol,"n_rows(npmi=+0.51, n=2) | n_containers(npmi=+0.41, n=2) | fragments_are_whole_plants(npmi=+0.58, n=1)"
olchey,"n_nymphs(npmi=+0.52, n=9) | has_water(npmi=+0.50, n=9) | n_pools(npmi=+0.50, n=8)"
olchy,"n_pipes(npmi=+0.42, n=4) | n_pools(npmi=+0.39, n=4) | n_nymphs(npmi=+0.36, n=4)"
oldaiin,"n_plant_fragments(npmi=+0.33, n=2) | n_rows(npmi=+0.29, n=1) | n_containers(npmi=+0.20, n=1)"
oldar,"n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1) | n_labels(npmi=+0.15, n=2)"
oldy,"n_nymphs(npmi=+0.45, n=6) | has_water(npmi=+0.43, n=6) | has_human_figure(npmi=+0.31, n=6)"
olkaiin,"n_paragraphs(npmi=+0.38, n=9) | n_decorative_motifs(npmi=+0.37, n=9) | n_pools(npmi=+0.39, n=7)"
olkain,"n_nymphs(npmi=+0.61, n=9) | has_water(npmi=+0.59, n=9) | n_pipes(npmi=+0.62, n=8)"
olkal,"n_pools(npmi=+0.47, n=5) | n_nymphs(npmi=+0.44, n=5) | has_water(npmi=+0.43, n=5)"
olkam,"n_pipes(npmi=+0.35, n=3) | n_pools(npmi=+0.32, n=3) | n_nymphs(npmi=+0.29, n=3)"
olkar,"n_pools(npmi=+0.45, n=5) | n_nymphs(npmi=+0.42, n=5) | has_water(npmi=+0.41, n=5)"
olke@152;y,"n_nymphs(npmi=+0.60, n=6) | has_water(npmi=+0.59, n=6) | n_pools(npmi=+0.56, n=5)"
olkedy,"n_nymphs(npmi=+0.57, n=8) | has_water(npmi=+0.56, n=8) | n_pools(npmi=+0.55, n=7)"
olkee@152;y,"n_paragraphs(npmi=+0.37, n=5) | n_decorative_motifs(npmi=+0.36, n=5) | n_stars(npmi=+0.31, n=5)"
olkeedy,"n_nymphs(npmi=+0.48, n=9) | has_water(npmi=+0.46, n=9) | n_pools(npmi=+0.46, n=8)"
olkeeey,"n_paragraphs(npmi=+0.34, n=4) | n_decorative_motifs(npmi=+0.34, n=4) | n_pipes(npmi=+0.37, n=3)"
olkeeo,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
olkeeody,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
olkeey,"n_paragraphs(npmi=+0.46, n=11) | n_decorative_motifs(npmi=+0.44, n=11) | n_nymphs(npmi=+0.45, n=9)"
olkeol,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_stars(npmi=+0.30, n=3)"
olkey,"n_pipes(npmi=+0.33, n=3) | n_nymphs(npmi=+0.27, n=3) | has_water(npmi=+0.26, n=3)"
olky,"n_pools(npmi=+0.50, n=6) | n_nymphs(npmi=+0.47, n=6) | has_water(npmi=+0.46, n=6)"
olol,"n_nymphs(npmi=+0.52, n=8) | has_water(npmi=+0.50, n=8) | n_pipes(npmi=+0.53, n=7)"
olor,"n_pools(npmi=+0.43, n=6) | n_nymphs(npmi=+0.40, n=6) | has_water(npmi=+0.38, n=6)"
ols,"n_nymphs(npmi=+0.26, n=4) | has_water(npmi=+0.24, n=4) | n_pipes(npmi=+0.23, n=3)"
olshedy,"n_nymphs(npmi=+0.41, n=4) | has_water(npmi=+0.40, n=4) | n_pools(npmi=+0.34, n=3)"
olshey,"n_nymphs(npmi=+0.60, n=6) | has_water(npmi=+0.59, n=6) | n_pools(npmi=+0.56, n=5)"
oly,"n_nymphs(npmi=+0.52, n=13) | has_water(npmi=+0.50, n=13) | n_pools(npmi=+0.52, n=12)"
om,"n_rows(npmi=+0.40, n=3) | n_paragraphs(npmi=+0.29, n=5) | n_decorative_motifs(npmi=+0.28, n=5)"
opaiin,"n_concentric_rings(npmi=+0.46, n=6) | has_radial_symmetry(npmi=+0.43, n=6) | has_circular_structure(npmi=+0.41, n=6)"
opal,"n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4) | n_stars(npmi=+0.32, n=4)"
opar,"n_rays_or_petals(npmi=+0.32, n=1) | n_concentric_rings(npmi=+0.14, n=2) | n_rows(npmi=+0.19, n=1)"
opchdy,"n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4) | n_stars(npmi=+0.27, n=4)"
opche@152;y,"n_paragraphs(npmi=+0.45, n=5) | n_decorative_motifs(npmi=+0.44, n=5) | n_stars(npmi=+0.40, n=5)"
opchedy,"n_paragraphs(npmi=+0.56, n=15) | n_decorative_motifs(npmi=+0.54, n=15) | n_stars(npmi=+0.48, n=15)"
opcheey,"has_T_O_diagram(npmi=+0.74, n=1) | n_pipes(npmi=+0.24, n=1) | n_pools(npmi=+0.22, n=1)"
opcheol,"n_stars(npmi=+0.43, n=5) | n_paragraphs(npmi=+0.41, n=4) | n_decorative_motifs(npmi=+0.40, n=4)"
opchey,"n_paragraphs(npmi=+0.40, n=10) | n_stars(npmi=+0.37, n=11) | n_decorative_motifs(npmi=+0.39, n=10)"
opchol,"n_paragraphs(npmi=+0.11, n=1) | n_decorative_motifs(npmi=+0.10, n=1) | n_stars(npmi=+0.07, n=1)"
opchor,"fragments_are_whole_plants(npmi=+0.58, n=1) | n_containers(npmi=+0.23, n=1) | has_container(npmi=+0.20, n=1)"
opchy,"n_paragraphs(npmi=+0.42, n=6) | n_decorative_motifs(npmi=+0.40, n=6) | n_stars(npmi=+0.36, n=6)"
opor,"n_paragraphs(npmi=+0.23, n=2) | n_decorative_motifs(npmi=+0.23, n=2) | n_stars(npmi=+0.19, n=2)"
opy,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
or,"n_decorative_motifs(npmi=+0.23, n=24) | n_paragraphs(npmi=+0.22, n=23) | n_stars(npmi=+0.17, n=25)"
oraiin,"n_paragraphs(npmi=+0.46, n=11) | n_stars(npmi=+0.43, n=12) | n_decorative_motifs(npmi=+0.44, n=11)"
orain,"n_paragraphs(npmi=+0.31, n=5) | n_decorative_motifs(npmi=+0.30, n=5) | n_stars(npmi=+0.25, n=5)"
oral,"n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3) | n_stars(npmi=+0.26, n=3)"
oram,"n_stars(npmi=+0.34, n=5) | n_paragraphs(npmi=+0.32, n=4) | n_decorative_motifs(npmi=+0.31, n=4)"
orar,"n_stars(npmi=+0.35, n=4) | n_paragraphs(npmi=+0.31, n=3) | n_decorative_motifs(npmi=+0.30, n=3)"
orchey,"n_pools(npmi=+0.35, n=2) | n_nymphs(npmi=+0.33, n=2) | has_water(npmi=+0.32, n=2)"
oro,"n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1) | has_container(npmi=+0.20, n=1)"
orol,"n_nymphs(npmi=+0.52, n=6) | has_water(npmi=+0.50, n=6) | n_pipes(npmi=+0.50, n=5)"
ory,"n_pipes(npmi=+0.44, n=5) | n_nymphs(npmi=+0.38, n=5) | has_star_motif(npmi=+0.59, n=2)"
os,"n_concentric_rings(npmi=+0.30, n=7) | n_labels(npmi=+0.24, n=10) | has_radial_symmetry(npmi=+0.27, n=7)"
osaiin,"has_central_star(npmi=+0.67, n=1) | has_sun_face(npmi=+0.54, n=1) | n_rays(npmi=+0.54, n=1)"
oshey,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | has_sun_face(npmi=+0.54, n=1)"
ot,"has_sun_face(npmi=+0.43, n=1) | n_rays(npmi=+0.43, n=1) | n_concentric_rings(npmi=+0.23, n=3)"
ot@221;l,"has_star_motif(npmi=+0.51, n=1) | n_human_figures(npmi=+0.36, n=2) | has_human_figure(npmi=+0.26, n=3)"
ot@221;r,"has_human_figure(npmi=+0.35, n=4) | n_nymphs(npmi=+0.38, n=3) | has_water(npmi=+0.37, n=3)"
otaiin,"n_paragraphs(npmi=+0.37, n=19) | n_decorative_motifs(npmi=+0.36, n=19) | n_stars(npmi=+0.29, n=19)"
otain,"n_paragraphs(npmi=+0.54, n=19) | n_decorative_motifs(npmi=+0.53, n=19) | n_stars(npmi=+0.45, n=19)"
otair,"n_stars(npmi=+0.53, n=11) | n_paragraphs(npmi=+0.56, n=10) | n_decorative_motifs(npmi=+0.54, n=10)"
otal,"n_paragraphs(npmi=+0.44, n=21) | n_decorative_motifs(npmi=+0.43, n=21) | n_stars(npmi=+0.41, n=23)"
otaly,"has_human_figure(npmi=+0.45, n=10) | n_human_figures(npmi=+0.51, n=6) | has_circular_structure(npmi=+0.33, n=7)"
otam,"n_paragraphs(npmi=+0.48, n=14) | n_decorative_motifs(npmi=+0.47, n=14) | n_stars(npmi=+0.41, n=14)"
otar,"n_paragraphs(npmi=+0.48, n=23) | n_decorative_motifs(npmi=+0.47, n=23) | n_stars(npmi=+0.39, n=23)"
otarar,"n_stars(npmi=+0.44, n=4) | n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3)"
otary,"has_central_star(npmi=+0.70, n=1) | n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2)"
otch@152;y,"n_paragraphs(npmi=+0.26, n=3) | n_decorative_motifs(npmi=+0.25, n=3) | has_marginal_annotation(npmi=+0.39, n=1)"
otcham,"n_flowers_visible(npmi=+0.49, n=1) | branching_depth(npmi=+0.49, n=1) | n_leaves_visible(npmi=+0.45, n=1)"
otchar,"n_rows(npmi=+0.32, n=1) | n_containers(npmi=+0.23, n=1) | has_container(npmi=+0.20, n=1)"
otchdy,"n_stars(npmi=+0.29, n=6) | n_petals(npmi=+0.50, n=1) | n_paragraphs(npmi=+0.22, n=4)"
otche@152;y,"n_paragraphs(npmi=+0.28, n=3) | n_decorative_motifs(npmi=+0.27, n=3) | n_stars(npmi=+0.23, n=3)"
otchedy,"n_paragraphs(npmi=+0.45, n=8) | n_decorative_motifs(npmi=+0.44, n=8) | n_stars(npmi=+0.39, n=8)"
otchey,"n_paragraphs(npmi=+0.31, n=8) | n_stars(npmi=+0.29, n=9) | n_decorative_motifs(npmi=+0.29, n=8)"
otcho,"n_flowers_visible(npmi=+0.36, n=1) | branching_depth(npmi=+0.36, n=1) | n_rays_or_petals(npmi=+0.36, n=1)"
otchol,"n_visual_text_columns(npmi=+0.23, n=2) | n_rays(npmi=+0.28, n=1) | n_rows(npmi=+0.17, n=2)"
otchor,"n_leaves_visible(npmi=+0.37, n=2) | n_visual_text_columns(npmi=+0.33, n=2) | n_flowers_visible(npmi=+0.23, n=1)"
otchy,"has_spiral(npmi=+0.34, n=1) | spiral_turns(npmi=+0.34, n=1) | n_beads(npmi=+0.34, n=1)"
ote@152;y,"n_nymphs(npmi=+0.46, n=12) | has_water(npmi=+0.44, n=12) | n_pools(npmi=+0.41, n=10)"
oteal,"n_paragraphs(npmi=+0.58, n=5) | n_decorative_motifs(npmi=+0.57, n=5) | n_stars(npmi=+0.52, n=5)"
otear,"n_human_figures(npmi=+0.43, n=2) | fragments_are_whole_plants(npmi=+0.58, n=1) | n_labels(npmi=+0.26, n=3)"
oted@222;,"n_paragraphs(npmi=+0.39, n=3) | n_decorative_motifs(npmi=+0.38, n=3) | n_stars(npmi=+0.34, n=3)"
otedar,"n_paragraphs(npmi=+0.35, n=3) | n_decorative_motifs(npmi=+0.34, n=3) | n_human_figures(npmi=+0.39, n=2)"
otedy,"n_nymphs(npmi=+0.47, n=13) | has_water(npmi=+0.46, n=13) | n_paragraphs(npmi=+0.41, n=14)"
otee@152;y,"n_paragraphs(npmi=+0.48, n=10) | n_decorative_motifs(npmi=+0.47, n=10) | n_stars(npmi=+0.41, n=10)"
otee@222;,"n_paragraphs(npmi=+0.27, n=2) | n_decorative_motifs(npmi=+0.26, n=2) | n_stars(npmi=+0.23, n=2)"
oteed,"n_paragraphs(npmi=+0.55, n=4) | n_decorative_motifs(npmi=+0.54, n=4) | n_stars(npmi=+0.49, n=4)"
oteedy,"n_paragraphs(npmi=+0.58, n=20) | n_decorative_motifs(npmi=+0.57, n=20) | n_stars(npmi=+0.52, n=21)"
oteeey,"n_paragraphs(npmi=+0.60, n=7) | n_decorative_motifs(npmi=+0.58, n=7) | n_stars(npmi=+0.53, n=7)"
oteeo,"n_paragraphs(npmi=+0.49, n=6) | n_decorative_motifs(npmi=+0.48, n=6) | n_stars(npmi=+0.44, n=6)"
oteeody,"n_labels(npmi=+0.37, n=6) | n_concentric_rings(npmi=+0.39, n=4) | has_radial_symmetry(npmi=+0.36, n=4)"
oteeol,"n_paragraphs(npmi=+0.37, n=4) | n_decorative_motifs(npmi=+0.36, n=4) | n_stars(npmi=+0.32, n=4)"
oteeos,"has_circular_structure(npmi=+0.47, n=7) | n_concentric_rings(npmi=+0.46, n=6) | has_radial_symmetry(npmi=+0.43, n=6)"
otees,"has_radial_symmetry(npmi=+0.46, n=6) | has_circular_structure(npmi=+0.43, n=6) | n_labels(npmi=+0.37, n=7)"
oteey,"n_decorative_motifs(npmi=+0.37, n=19) | n_paragraphs(npmi=+0.36, n=18) | has_circular_structure(npmi=+0.34, n=19)"
oteo,"n_concentric_rings(npmi=+0.44, n=6) | has_radial_symmetry(npmi=+0.40, n=6) | has_circular_structure(npmi=+0.38, n=6)"
oteo@152;y,"n_concentric_rings(npmi=+0.43, n=4) | n_human_figures(npmi=+0.48, n=3) | has_radial_symmetry(npmi=+0.40, n=4)"
oteodaiin,"has_moon_face(npmi=+0.67, n=1) | n_concentric_rings(npmi=+0.37, n=3) | has_radial_symmetry(npmi=+0.34, n=3)"
oteodar,"n_concentric_rings(npmi=+0.51, n=5) | has_radial_symmetry(npmi=+0.48, n=5) | has_circular_structure(npmi=+0.46, n=5)"
